,"Jan 11"
"Ordinary Income/Expense",""
"Income",""
"1000 · INCOMES",""
"1001 · Maintenance Fee",5801.76
"1003 · Late Fee",200.00
"1004 · Interest Income",0.06
"1006 · Parking Rental",200.00
"Total 1000 · INCOMES",6201.82
"Total Income",6201.82
"Gross Profit",6201.82
"Expense",""
"2000 · OPERATING EXPENSES",""
"2001 · Management Fees",378.00
"2002 · Postage and Delivery",29.92
"2003 · Printing & Reproduction",82.50
"2006 · Bank Service Charges",25.00
"2007 · INSURANCE",1795.15
"2008 · Licenses and Permits",195.00
"2011 · Reimbursed Income",15.00
"2013 · Elevator Monitoring Serv",18.00
"Total 2000 · OPERATING EXPENSES",2538.57
"3000 · REPAIRS",""
"3001 · Pool Service",200.00
"3002 · Landscaping Service",80.00
"3004 · Elevator Maintenance",160.00
"3009 · Janitorial Service",400.00
"3010 · Gate Repairs",370.00
"Total 3000 · REPAIRS",1210.00
"4000 · UTILITIES",""
"4001 · FPL",580.87
"4002 · Waste Service",452.81
"4003 · Elevator Telephone",71.23
"4004 · Water",""
"4004-1 · Water Agreement",570.12
"4004 · Water - Other",1823.97
"Total 4004 · Water",2394.09
"Total 4000 · UTILITIES",3499.00
"Total Expense",7247.57
"Net Ordinary Income",-1045.75
"Net Income",-1045.75
