,"Nov 10"
"Ordinary Income/Expense",""
"Income",""
"1000 · 1000 - INCOME",""
"1002 - Spec. Assc.",15910.00
"1003 - Late Fee",320.00
"1001 · 1001 - Reg. Assc.",7401.00
"Total 1000 · 1000 - INCOME",23631.00
"Total Income",23631.00
"Expense",""
"2000 - Operating Expenses",""
"2001 - Management Fee",1044.00
"2002 -Printing and Repoducction",702.00
"2003 - Postage",145.02
"2004 - Collection Proces",681.00
"2008 - Insurance",866.61
"2012 - Pool Services",503.84
"2014 - Janitorial & Custodial",500.00
"Total 2000 - Operating Expenses",4442.47
"3000 - Repairs",""
"3002 - Electrical Repairs",390.00
"3005 - Landscaping Services",1790.00
"3006 - Building Repairs",120.00
"3008 - Drains",6750.00
"Total 3000 - Repairs",9050.00
"4000 · 4000 - Utilities",""
"4100 · 4001 - FPL",""
"FPL # 33319-78381 (16617/73CT)",20.75
"FPL # 65847-68219 (16615/72PL)",25.62
"FPL # 76156-27382 (16615/73Av)",22.87
"FPL # 79229-64387 (16619/71Av)",19.90
"FPL # 80832-52547 (16631/73PL)",61.70
"FPL # 89542-85386 (16621/71CT)",37.27
"FPL # 93838-71515 (16617/70CT)",35.79
"FPL#9827395584(16602/72Av)Pool",127.35
"4101 · FPL # 04694-56388 (16613/72Av)",29.30
"4102 · FPL # 20810-26417 (16613/71Av)",143.48
"Total 4100 · 4001 - FPL",524.03
"Total 4000 · 4000 - Utilities",524.03
"Total Expense",14016.50
"Net Ordinary Income",9614.50
"Net Income",9614.50
