,"Feb 11"
"Ordinary Income/Expense",""
"Income",""
"1000 · INCOME",""
"1001 · Association fee",3740.00
"1003 · Late Fee",60.00
"Total 1000 · INCOME",3800.00
"Total Income",3800.00
"Gross Profit",3800.00
"Expense",""
"2000 · OPERATING EXPENSES",""
"2001 · Property Management Fee",442.00
"2002 · Printing & Reproduction",61.50
"2003 · Postage and Delivery",19.36
"2004 · Collection Process",100.00
"2006 · Filing Condominiums Fee",61.25
"2007 · Bank Service Charges",7.50
"2008 · Insurance",6699.71
"Total 2000 · OPERATING EXPENSES",7391.32
"3000 · MAINTENANCE & REPAIRS",""
"3005 · Landscaping",550.00
"Total 3000 · MAINTENANCE & REPAIRS",550.00
"4000 · UTILITIES",""
"4001 · Fpl",""
"1 · Acc#. 96226-02499",172.16
"2 · Acc#. 24148-06014",183.40
"Total 4001 · Fpl",355.56
"4004 · Waste Disposal",827.93
"Total 4000 · UTILITIES",1183.49
"Total Expense",9124.81
"Net Ordinary Income",-5324.81
"Net Income",-5324.81
