,"Feb 11"
"Ordinary Income/Expense",""
"Income",""
"1000 · INCOME",""
"1001 · Reg. Assc.",7401.00
"1003 · Late Fee",320.00
"1006 · Credit/ Paymnt Agrmnt",-2090.00
"Total 1000 · INCOME",5631.00
"Total Income",5631.00
"Expense",""
"2000 · Operating Expenses",""
"2001 · Management Fee",1044.00
"2002 · Printing and Repoducction",36.00
"2003 · Postage",7.92
"2004 · Collection Proces",227.42
"2007 · Bank Services Charge",39.25
"2008 · Insurance",401.27
"2012 · Pool Services",374.00
"2014 · Janitorial & Custodial",500.00
"Total 2000 · Operating Expenses",2629.86
"3000 · Repairs",""
"3002 · Electrical Repairs",450.00
"3005 · Landscaping Services",1450.00
"Total 3000 · Repairs",1900.00
"4000 · Utilities",""
"4100 · FPL",""
"4101 · FPL # 04694-56388 (16613/72Av)",28.71
"4103 · FPL # 33319-78381 (16617/73CT)",27.16
"4104 · FPL # 65847-68219 (16615/72PL)",23.84
"4105 · FPL # 76156-27382 (16615/73Av)",23.96
"4106 · FPL # 79229-64387 (16619/71Av)",19.32
"4107 · FPL # 80832-52547 (16631/73PL)",47.64
"4108 · FPL # 89542-85386 (16621/71CT)",26.80
"4109 · FPL # 93838-71515 (16617/70CT)",40.03
"4110 · FPL#9827395584(16602/72Av)Pool",132.24
"Total 4100 · FPL",369.70
"Total 4000 · Utilities",369.70
"Total Expense",4899.56
"Net Ordinary Income",731.44
"Net Income",731.44
